cascao_id,pac_id,pac_estado
152153,148383,programa-activo
152164,148394,programa-activo
152224,148454,programa-activo
152242,148472,programa-activo
152251,148481,programa-activo
152266,148496,programa-activo
153208,149438,programa-activo
153219,149449,programa-activo
153294,149524,programa-activo
153336,149566,programa-activo
153702,149931,programa-activo
153758,149987,programa-activo
153772,150001,programa-activo
153786,150015,programa-activo
153804,150033,programa-activo
154133,150362,programa-activo
154219,150448,programa-activo
154681,150904,programa-activo
154698,150921,programa-activo
154714,150937,programa-activo
154723,150946,programa-activo
154732,150955,programa-activo
154762,150985,solicitud-compatible
154779,151002,programa-activo
154788,151011,programa-activo
154797,151020,programa-completo
154810,151033,programa-activo
155124,151347,programa-activo
155152,151375,programa-activo
156668,152891,programa-completo
156760,152983,programa-completo
156801,153024,programa-completo
156828,153051,programa-completo
156881,153104,programa-completo
156909,153132,programa-completo
156933,153156,rechazado-mmgyd
156953,153176,programa-activo
156963,153186,programa-activo
156973,153196,programa-completo
157346,153567,programa-completo
157362,153583,programa-completo
157410,153631,programa-completo
157461,153682,programa-activo
159036,155235,programa-completo
159047,155246,programa-completo
159102,155301,programa-completo
159141,155340,programa-completo
159185,155384,programa-completo
159292,155491,programa-completo
159381,155580,programa-completo
159945,156141,programa-completo
160000,156196,programa-completo
160310,156506,programa-completo
160343,156539,programa-completo
160391,156587,programa-completo
160433,156629,programa-completo
160475,156671,programa-completo
160506,156702,programa-completo
160830,157024,programa-completo
160862,157051,programa-completo
160882,157071,programa-completo
162097,158286,programa-completo
162116,158305,programa-completo
162348,158535,programa-activo
162381,158568,programa-completo
162424,158611,programa-completo
162454,158641,programa-completo
162491,158678,programa-completo
162517,158704,programa-completo
162536,158723,programa-completo
162674,158861,programa-completo
162686,158873,programa-completo
162698,158885,programa-completo
162710,158897,programa-completo
162726,158913,programa-completo
162731,158918,programa-completo
162736,158923,programa-activo
162742,158929,programa-completo
162745,158932,rechazado-mmgyd
162747,158934,caso-nuevo
162755,158942,programa-completo
162761,158948,rechazado-mmgyd
162836,159023,programa-completo
162854,159041,programa-completo
162875,159062,programa-completo
162942,159129,programa-completo
162995,159182,programa-completo
163146,159333,programa-completo
163174,159361,programa-completo
163220,159407,programa-completo
163262,159449,programa-completo
163291,159478,programa-completo
164129,160314,programa-activo
164214,160399,programa-completo
164254,160439,programa-completo
164282,160467,programa-completo
164322,160507,programa-completo
164394,160579,programa-completo
164442,160627,programa-completo
164485,160670,programa-completo
164585,160770,programa-completo
164623,160808,caso-nuevo
164680,160865,programa-completo
164950,161135,programa-completo
164965,161150,programa-completo
165000,161185,programa-completo
165042,161227,programa-completo
165700,161885,programa-completo
165792,161977,rechazado-mmgyd
165838,162023,programa-completo
166204,162323,programa-completo
167583,163686,programa-completo
167590,163693,caso-nuevo
167610,163713,programa-completo
167737,163839,programa-completo
167755,163857,programa-completo
167824,163917,programa-completo
167909,164000,programa-completo
167976,164065,programa-completo
168015,164104,programa-completo
168038,164127,programa-completo
168046,164135,programa-completo
168385,164408,programa-completo
168402,164417,programa-completo
168415,164430,programa-completo
168445,164460,programa-completo
168475,164490,programa-completo
168498,164512,programa-completo
168558,164572,caso-nuevo
168659,164669,programa-completo
168700,164710,programa-completo
168724,164734,programa-completo
168757,164766,programa-completo
169043,165045,programa-completo
169049,165051,programa-completo
169057,165059,programa-completo
169095,165097,programa-completo
169125,165127,programa-completo
169152,165154,programa-completo
169196,165181,programa-completo
169215,165200,programa-completo
169281,165264,programa-completo
169354,165331,programa-completo
169563,165525,programa-completo
169566,165528,programa-completo
169571,165533,programa-completo
169610,165572,programa-completo
169633,165595,programa-completo
169673,165635,programa-completo
169909,165855,programa-completo
170186,166112,programa-completo
170304,166220,programa-completo
170328,166244,programa-completo
170353,166269,programa-completo
170798,166703,programa-activo
170801,166705,programa-completo
170807,166711,programa-completo
170814,166718,programa-completo
170835,166738,programa-completo
170851,166754,programa-completo
170867,166770,programa-completo
170945,166845,programa-completo
170968,166867,programa-completo
171429,167279,programa-completo
171436,167286,programa-completo
171444,167294,revision-pendiente
171468,167318,caso-nuevo
171537,167386,programa-completo
171588,167436,programa-completo
171614,167461,programa-completo
171655,167495,programa-completo
171693,167524,programa-completo
171806,167618,programa-completo
171827,167639,programa-completo
172218,167872,programa-completo
172221,167875,programa-completo
172231,167885,programa-completo
172240,167894,programa-completo
172252,167906,programa-completo
172276,167930,programa-completo
172384,168037,programa-completo
172502,168129,caso-nuevo
172662,168231,programa-completo
172694,168263,programa-completo
172936,168477,caso-nuevo
172946,168487,programa-completo
172976,168516,programa-completo
172996,168536,caso-nuevo
173002,168542,programa-completo
173014,168554,programa-completo
173055,168595,programa-completo
173166,168682,programa-completo
173224,168717,programa-completo
